BATTERIKALKYL - Mats ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besparing per kWh,1.1,SEK/kWh,,,,,Snitt (kW),10.2,Snitt (kW),8.2,Snitt (kW),8.2,Snitt (kW),10.2,,Snitt (kW),6.2,Snitt (kW),4.0,Snitt (kW),4.0,Snitt (kW),6.0,,,,,,,
,,,,,,,Taxa per kW,81 kr,Taxa per kW,81 kr,Taxa per kW,81 kr,Taxa per kW,81 kr,,Taxa per kW,81 kr,Taxa per kW,81 kr,Taxa per kW,81 kr,Taxa per kW,81 kr,,,,,,,
Avkastning |  Spotprisoptimering,7627.1,SEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besparing | Effektavgifter,4054.4,SEK,,,,,Kostnad per kvartal,,Kostnad per kvartal,,Kostnad per kvartal,,Kostnad per kvartal,,,Kostnad per kvartal,,Kostnad per kvartal,,Kostnad per kvartal,,Kostnad per kvartal,,,,,,,,
Avkastning |  Stödtjänster | Garantiersättning första 3 åren ,13320.0,SEK,,,,,"2,486 kr",,"2,007 kr",,"2,007 kr",,"2,486 kr",,,"1,519 kr",,975 kr,,975 kr,,"1,463 kr",,,,,,,,
Avkastning |  Stödtjänster | Garantiersättning efter garanti,7800,SEK, ⬅️ Notera: Jag har räknat konservativt med stödtjänstersättningen efter garantiersättningens period,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Summa kostnad,,"8,986 kr",,,,,,,Summa kostnad,,"4,932 kr",,,,,,,,,,,,
,,,,,,,,,,,,,,,,Besparing med batteri,,"4,054 kr",,,,,,,,,,,,
6. AVKASTNING & PAYBACK,,,,,,,Delbetalning,,,,,,,,,,,,,,,,,,,,,,,
Scenario,Payback tid (år),ROI 10 år (%),Årlig avkastning (%),,,,Period för delbetalning,36,månader,,,,,,,,,,,,,,,,,,,,,
Privatkund med Avdrag för Grön Teknik,3.1,1342.0,27.4,,,,Uppläggningsavgift,595 kr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Avgift per månad,45 kr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total kostnad | 36 mån,"2,215 kr",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Total 'ränta' per år,0.96%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Totalkostnad,"79,388 kr",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Månatlig kostnad,"2,205 kr",,,,,,,,,,,,,,,,,,,,,,
